"feature","J_XYL_F_0001_01","J_XYL_F_0001_02","J_XYL_F_0002_01","J_XYL_F_0002_02","J_XYL_F_0003_01","J_XYL_F_0003_02","J_XYL_F_0004_01","J_XYL_F_0004_02","J_XYL_F_0005_01","J_XYL_F_0005_02","J_XYL_F_0006_01","J_XYL_F_0006_02","J_XYL_F_0010_01","J_XYL_F_0010_02","J_XYL_F_0012_01","J_XYL_F_0012_02","J_XYL_F_0013_01","J_XYL_F_0013_02","J_XYL_F_0015_01","J_XYL_F_0015_02","J_XYL_F_0016_01","J_XYL_F_0016_02","J_XYL_F_0018_01","J_XYL_F_0018_02","J_XYL_F_0020_01","J_XYL_F_0020_02","J_XYL_F_0025_01","J_XYL_F_0025_02","J_XYL_F_0031_01","J_XYL_F_0031_02","J_XYL_F_0032_01","J_XYL_F_0032_02","J_XYL_F_0034_01","J_XYL_F_0034_02","J_XYL_F_0036_01","J_XYL_F_0036_02","J_XYL_F_0043_01","J_XYL_F_0043_2","J_XYL_F_0044_01","J_XYL_F_0044_02","J_XYL_F_0045_01","J_XYL_F_0045_2","J_XYL_F_0046_01","J_XYL_F_0046_02","J_XYL_F_0047_01","J_XYL_F_0047_02","J_XYL_F_0048_01","J_XYL_F_0049_02","J_XYL_F_0050_01","J_XYL_F_0050_02","J_XYL_F_0051_01","J_XYL_F_0051_02","J_XYL_F_0053_01","J_XYL_F_0053_02","J_XYL_F_0057_01","J_XYL_F_0057_02","J_XYL_F_0058_01","J_XYL_F_0058_02","J_XYL_F_0059_01","J_XYL_F_0059_02","J_XYL_F_0060_01","J_XYL_F_0060_02","J_XYL_F_0061_01","J_XYL_F_0061_02","J_XYL_F_0062_01","J_XYL_F_0062_02","J_XYL_F_0064_01","J_XYL_F_0064_02","J_XYL_F_0065_01","J_XYL_F_0065_02","J_XYL_F_0066_01","J_XYL_F_0066_02"
"k__Bacteria;__;__;__;__;__;__",5,0,0,0,0,11,6,3,3,0,0,0,8,3,0,0,7,0,0,5,0,0,0,0,15,0,0,7,6,5,3,0,0,0,0,8,0,0,0,0,0,6,13,0,3,0,2,0,0,0,8,0,3,4,0,10,0,10,0,0,0,6,0,0,4,0,2,0,276,17,0,3
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__",0,254,208,145,0,237,159,68,0,0,0,25,138,135,220,50,132,7,176,103,116,99,0,6,168,635,0,95,55,118,180,153,362,378,55,392,14,11,0,126,22,0,254,157,584,30,331,0,603,0,1476,431,91,31,0,0,66,146,690,233,0,457,222,812,609,209,244,65,0,0,987,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__",0,46,164,448,0,41,0,76,61,0,42,20,130,523,0,6,90,21,0,4,4,50,434,0,483,0,0,0,21,76,110,77,61,83,2,17,74,0,0,0,27,34,131,62,91,0,0,0,36,0,4,0,0,44,0,28,8,0,0,1,40,8,15,0,87,0,11,92,466,181,0,54
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis",17,0,6,97,88,21,13,229,98,212,0,0,104,156,116,56,59,14,23,46,66,0,0,52,35,0,0,0,0,0,63,99,0,0,112,0,53,0,58,0,0,118,161,244,75,31,0,152,0,0,27,57,242,276,0,0,154,67,0,48,0,73,111,10,144,27,0,0,0,186,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__",0,26,0,24,0,22,0,26,0,0,8,0,3,3,0,0,28,0,22,34,0,0,6,0,0,0,0,0,0,4,8,0,13,2,0,0,10,0,0,0,0,7,0,8,26,0,0,2,0,0,0,0,0,7,0,0,7,0,25,3,37,0,3,0,23,30,19,0,53,88,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;__;__",0,0,0,0,1,6,2,0,0,0,0,0,2,0,10,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,4,0,0,0,9,0,3,0,15,0,0,7,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__",5,144,451,67,0,0,202,87,0,0,126,0,0,52,0,0,146,0,200,115,0,0,47,416,59,45,0,0,82,0,66,121,0,0,64,56,216,87,781,437,170,93,137,106,71,240,0,99,0,0,0,0,0,0,0,0,0,0,127,350,157,365,16,0,8,20,0,7,0,484,0,35
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__formicilis",0,23,92,288,436,195,348,199,157,402,0,0,207,358,0,0,116,0,45,35,84,0,302,0,276,54,110,650,0,0,271,597,213,35,197,216,190,254,0,0,0,0,244,472,144,486,0,404,0,0,0,137,132,79,0,108,0,28,195,429,8,0,0,0,248,131,134,185,45,101,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__;__",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,6,112,0,94,0,0,3,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,1169,17,27,0,44,0,0,0,23,0,0,0,0,0,1717,510,0,33,0,1792,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,248,235,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__",375,1207,101,189,0,456,198,168,0,275,123,773,167,139,16,125,3,55,0,6,182,11,0,0,42,5,0,218,352,470,41,0,196,276,163,0,214,289,0,0,179,65,0,0,0,0,12,33,0,0,0,0,229,143,0,184,0,204,305,514,0,0,0,8,52,0,252,49,29,144,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__spiroforme",0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,8,0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,26
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__",0,0,0,0,0,37,20,29,62,0,100,0,0,18,0,0,0,0,0,0,0,16,97,50,79,0,0,214,0,66,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,39,0,0,0,330,0,16,0,0,0,25,0,170,0,0,0,0,0,0,4,34,0,77,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__;__",0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,2,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__",3140,8363,334,338,217,278,122,637,115,928,187,375,284,413,589,301,891,1791,2672,728,2724,1409,547,157,0,659,497,2295,626,702,490,571,1788,7268,1714,263,641,325,2183,558,8968,14309,431,2461,2941,1290,8645,851,8027,1336,8325,0,631,320,815,686,5791,778,448,1026,1645,414,340,275,527,173,10170,4843,1219,543,2256,1164
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__",0,276,0,37,0,97,91,93,0,0,103,49,51,153,37,90,19,28,30,97,32,111,52,0,57,120,33,120,87,0,63,5,0,0,37,69,64,110,0,0,0,0,86,0,141,0,0,3,205,0,51,97,98,0,66,0,246,115,90,44,109,382,81,45,261,6,97,0,48,18,109,45
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa",0,0,27,0,0,59,92,140,0,0,0,39,0,0,0,0,0,0,0,0,13,29,25,0,0,198,21,0,32,0,2,67,114,0,37,135,26,0,0,163,0,0,104,35,46,0,19,0,65,0,0,0,77,15,0,14,124,152,51,93,0,83,0,121,108,16,99,23,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__",0,153,193,253,0,232,611,887,0,121,0,0,0,115,395,131,0,78,231,0,348,0,840,0,1072,258,66,149,4031,2420,172,918,1133,278,0,34,2229,0,0,103,109,0,209,0,757,516,144,0,106,0,0,314,1030,482,233,1009,120,48,114,242,764,4507,681,0,219,646,187,0,0,0,118,2395
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__",0,245,136,104,181,147,52,62,158,0,0,0,180,105,124,149,0,0,90,11,0,68,25,0,151,32,0,61,204,208,0,108,126,163,60,0,116,0,0,152,0,19,74,0,197,140,0,89,0,0,0,0,0,160,0,59,0,90,174,97,135,244,0,0,25,0,122,163,3,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__",0,0,286,295,289,187,478,414,21,76,0,0,382,372,33,16,24,16,0,7,39,40,184,0,163,32,75,190,0,0,83,126,59,35,9,0,33,0,51,38,33,23,188,107,38,0,0,198,57,0,0,137,222,111,0,16,5,376,128,202,39,0,52,16,13,16,31,279,72,67,0,17
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__",65,169,219,301,75,560,459,387,26,273,0,61,68,104,195,146,0,0,70,29,41,374,209,0,152,0,0,228,105,249,0,247,38,171,0,37,348,0,0,178,224,80,41,145,166,352,0,569,248,0,214,38,0,110,0,169,381,323,170,222,254,270,480,27,0,11,0,174,149,230,0,59
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__;__",0,13,295,449,165,137,157,223,69,0,75,0,253,351,33,46,25,7,4,12,17,21,404,0,324,14,132,31,1,0,32,174,395,53,112,151,370,192,0,0,108,80,250,326,69,176,4,182,8,0,0,0,589,247,0,28,109,230,213,225,0,0,46,0,0,63,37,126,371,296,0,31
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__",0,0,73,119,0,186,327,0,49,127,0,0,128,74,0,0,27,3,0,0,0,120,147,0,99,0,360,103,204,108,0,187,39,82,59,0,179,428,0,0,179,114,156,158,74,193,0,226,0,0,0,0,250,108,0,120,0,172,225,281,6,0,534,119,171,80,42,146,85,179,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__",32,66,499,623,183,0,523,48,249,43,0,0,413,535,138,13,7,21,0,11,56,63,369,0,415,9,235,159,28,72,86,132,216,0,0,0,266,0,0,0,0,69,138,123,0,73,0,72,3,0,0,123,427,277,0,115,51,296,159,52,57,20,74,50,16,0,0,22,380,460,56,39
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__",0,25,1,384,0,560,0,69,169,390,0,0,419,2326,298,92,26,51,632,192,130,157,110,0,10,125,270,86,588,78,49,0,245,139,334,296,0,0,0,0,0,4,559,407,64,313,0,13,0,0,0,578,573,134,0,465,16,602,46,18,9,6,119,9,3108,111,31,31,1857,106,0,165
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta",0,0,0,42,0,15,0,0,0,0,0,0,0,5,30,0,5,0,0,0,0,0,0,0,8,13,0,24,0,0,58,45,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,57,0,0,0,6,0,126,26,0,8,0,0,0,0,17,73
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,15,11,0,0,0,32,0,0,18,0,0,50,0,30,11,0,0,0,25,53,0,0,0,26,0,35,25,27,0,0,0,80,0,0,0,33,10,0,0,0,14,0,41,0,0,0,26,91,192,55,0,29,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__",0,0,0,0,0,169,60,0,0,13,0,0,0,190,0,0,0,0,0,0,0,19,38,0,179,0,48,18,0,36,0,0,0,0,139,68,0,0,0,0,0,0,42,23,0,0,0,0,0,0,0,0,0,63,0,0,94,0,39,27,0,0,116,0,17,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__",0,123,0,69,0,46,0,41,0,25,0,14,7,46,66,28,117,29,52,12,34,18,94,0,0,34,35,25,11,25,0,53,104,125,12,24,0,0,0,1,75,63,133,78,71,34,112,0,77,0,0,201,57,0,18,80,74,88,66,76,58,133,26,64,125,3126,66,147,0,64,0,137
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__helveticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,12,35,0,0,0,17,0,0,0,37,0,0,0,0,0,49,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,24,0,0,0,105,85,116,0,0,0,86,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__",29,59,22,7,0,0,0,0,0,0,0,0,0,20,0,0,6,0,0,33,0,0,0,0,0,46,25,42,104,11,103,19,54,0,49,0,52,0,0,89,0,18,0,31,95,0,151,0,72,0,116,0,0,0,0,0,0,49,0,49,0,181,32,42,36,0,113,0,0,20,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,4,0,1,0,41,0,0,0,2,2,0,0,0,18,0,0,0,2,29,1,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__",0,0,0,0,0,0,33,0,50,0,0,0,0,0,0,0,0,0,0,40,0,142,0,0,0,38,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,29,75,0,125,0,111,0,21,0,0,19,0,0,0,0,68,0,0,0,60,0,0,0,13,0,62,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__",0,0,0,0,0,0,0,0,10,125,23,0,0,0,0,36,26,0,0,0,119,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,41,54,5,343,141,0,194,0,71,61,0,0,0,0,0,0,0,0,0,0,0,218,0,88,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__moorei",0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,21,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,11,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri",0,0,257,58,0,0,0,43,5709,0,236,0,327,223,0,60,906,100,1790,3794,99,0,294,1352,505,0,0,0,62,28,52,0,85,210,2238,2227,0,0,545,157,0,0,577,211,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,39,0,0,0,183,368,0,0,284,673,0,0
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila",0,53,84,92,0,44,0,8749,0,0,0,0,52,55,0,47,65,114,0,90,51,144,456,0,549,55,0,99,52,132,1316,149,0,58,0,52,79,37,0,38,0,162,79,167,87,75,60,51,70,0,2,12,93,147,0,39,53,673,76,292,56,78,41,85,43,0,0,0,99,46,67,8579
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus",0,0,298,39,695,0,69,96,26,34,0,0,21,0,0,28,0,28,0,0,159,20,0,0,138,0,100,0,150,56,435,94,0,0,0,39,164,89,47,0,0,141,64,32,0,0,0,0,112,0,69,0,136,240,374,215,0,314,221,100,276,3,126,83,134,0,0,0,0,97,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__",0,0,0,75,293,0,61,156,77,0,0,0,39,92,0,0,0,8,0,0,0,0,146,0,118,25,174,56,0,0,19,47,27,0,0,0,171,0,0,0,0,0,218,56,0,47,0,0,0,0,0,0,0,0,0,0,0,185,0,70,0,0,0,0,17,0,0,49,54,7,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__indistinctus",0,0,95,71,0,0,0,0,0,0,0,0,51,161,0,0,0,0,0,0,0,0,128,0,167,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,129,13,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__",0,0,37,11,0,0,0,110,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,35,64,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis",0,0,29,32,435,0,0,0,8,119,0,0,20,0,21,22,26,0,0,0,44,4,0,0,0,0,0,10,127,85,6,0,0,0,92,0,0,0,0,0,0,85,7,0,12,0,0,0,42,0,0,0,0,0,505,166,0,0,134,114,0,68,0,0,113,0,56,0,26,66,0,3
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231;s__",0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,18,0,17,0,0,0,13,0,0,0,0,0,0,0
"k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__",0,21,5,0,0,0,0,0,0,3,0,100,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,0,0,0,28,0,59,0,0,0,0,0,0,3,0,0,0,53,0,0,11,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__",0,0,0,5,2,36,3,0,0,11,0,0,0,0,0,15,0,0,0,12,5,39,0,49,7,2,0,0,0,0,0,0,0,5,0,72,34,0,0,0,0,0,3,3,0,4,0,8,0,0,0,0,14,6,0,10,0,14,0,7,0,9,6,0,5,4,2,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__longicatena",0,0,0,43,0,0,0,0,0,5,0,0,1,6,157,0,0,0,112,0,0,0,37,0,56,0,0,0,69,0,1,0,98,0,0,0,62,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,78,0,0,47,0,0,0,28,0,60,0,0,0,56,0,0,103,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__",0,65,60,35,512,0,5,0,327,170,0,0,163,0,38,0,143,24,0,68,0,54,151,313,117,83,0,61,112,38,0,109,107,0,175,0,152,92,0,20,0,0,57,0,94,0,0,210,9,0,0,0,121,32,514,309,0,0,0,147,0,2,148,0,88,259,0,31,178,211,0,0
