"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","log2FoldChange_unshrunk","stat_wald","significant","direction"
"Gene0026",122.000045604693,1.33871674043024,0.294511995179319,2.99991841842948e-07,1.34859968901216e-05,1.448538155662,5.12345212520233,TRUE,"Up in treated"
"Gene0034",197.611125765109,1.58162275748122,0.359465982547937,3.36948113034154e-07,1.39722544424309e-05,1.72198667824429,5.10151342610371,TRUE,"Up in treated"
"Gene0059",116.833405394399,1.27900981544013,0.28724903263898,3.39063808511972e-07,1.39722544424309e-05,1.38870667702236,5.10032887815773,TRUE,"Up in treated"
"Gene0015",223.306735824,1.53437001334466,0.345279820267228,3.90676848553629e-07,1.48607462776746e-05,1.66762227578328,5.07344528301829,TRUE,"Up in treated"
"Gene0058",197.960265894901,1.50746985030987,0.337726724440228,3.80549834618657e-07,1.48607462776746e-05,1.63757095416375,5.07843836964798,TRUE,"Up in treated"
"Gene0070",200.84153727579,-1.24397748389351,0.278938578514239,4.73451976080788e-07,1.73423705312555e-05,-1.34976460310056,-5.03677045690616,TRUE,"Down in treated"
"Gene0097",98.0580672289949,-1.36197821282697,0.315162307304326,6.94982992989448e-07,2.45477921452344e-05,-1.48769335194428,-4.96276039089388,TRUE,"Down in treated"
"Gene0039",29.3341733030369,1.60199697518748,0.369586450032338,7.5168656384996e-07,2.56351038499176e-05,1.7500375860308,4.94751048448605,TRUE,"Up in treated"
"Gene0073",66.4059315070487,-1.23193755733033,0.286140167753663,9.60663057180427e-07,3.16698587850481e-05,-1.34382266966846,-4.89952974658281,TRUE,"Down in treated"
"Gene0093",71.8617215891949,-1.15722849951717,0.279189731898554,2.03559812550018e-06,6.49421466490219e-05,-1.26882339436673,-4.74985772396969,TRUE,"Down in treated"
"Gene0005",71.6169808778938,1.61962729662377,0.407962786685599,2.76022277606873e-06,8.53081351728743e-05,1.79381453508688,4.68790040869621,TRUE,"Up in treated"
"Gene0090",131.591402409843,-1.42600260457822,0.371285865644401,3.68608426448663e-06,0.000110470828411433,-1.58839343211236,-4.62834003508091,TRUE,"Down in treated"
"Gene0074",67.1164608314273,-1.25202159223163,0.31454069434426,4.11588552008749e-06,0.000119723846451957,-1.38395497564335,-4.60544308316009,TRUE,"Down in treated"
"Gene0075",473.120664703359,-1.18911243351071,0.30261421638113,4.33590296348026e-06,0.000122520229453771,-1.31680601083056,-4.59459512729916,TRUE,"Down in treated"
"Gene0078",52.6539180167537,-1.25710504727899,0.327361507840586,5.82378343723078e-06,0.000159992272761701,-1.39812352112366,-4.53268788891862,TRUE,"Down in treated"
"Gene0010",232.113802817461,1.42844411543758,0.376607695423194,6.76500746744765e-06,0.000180826821224479,1.59312423256036,4.50095108384924,TRUE,"Up in treated"
"Gene0002",265.129149227083,1.37304082133797,0.371397800111756,1.10540051448354e-05,0.000287695028637953,1.53766219019559,4.39545679152626,TRUE,"Up in treated"
"Gene0053",68.6063448982479,1.31082579071217,0.359773566377802,1.38620861996117e-05,0.000351528288497845,1.47203258243297,4.34603436354764,TRUE,"Up in treated"
"Gene0051",264.497667590056,1.10298347188769,0.300935289034165,1.46976648283931e-05,0.000363399762882019,1.23413832204423,4.33317131537699,TRUE,"Up in treated"
"Gene0079",16.7713094745018,-1.4637156405019,0.40264408177936,1.51328765754957e-05,0.000365034510565005,-1.64780071744488,-4.32674531416757,TRUE,"Down in treated"
"Gene0099",62.183980845453,-1.04836424730519,0.28761083330662,1.62025274721841e-05,0.000381530944523572,-1.1742840022613,-4.31167116707674,TRUE,"Down in treated"
"Gene0092",45.648985584264,-1.2172720456404,0.343195954654477,2.01173888257765e-05,0.00046269994299286,-1.37532013143792,-4.26358392854244,TRUE,"Down in treated"
"Gene0036",124.399367923957,1.25523370188404,0.36300479871719,2.12278030046174e-05,0.000477143117535604,1.4248069733313,4.25156905983498,TRUE,"Up in treated"
"Gene0095",30.1521444989277,-1.33744189781576,0.384550476399453,2.33862669542885e-05,0.00051397817817314,-1.51819747322217,-4.22983510562808,TRUE,"Down in treated"
"Gene0080",58.5330572237955,-1.07593080969818,0.308346220955291,2.83394980051309e-05,0.000609299207110314,-1.21609387038064,-4.18641500922063,TRUE,"Down in treated"
"Gene0052",83.4277420899305,1.16264538912959,0.338924020855537,3.2651859808685e-05,0.000687078496825308,1.31943556668087,4.15413623904259,TRUE,"Up in treated"
"Gene0067",63.9621371418203,-1.21493228856425,0.370643419280268,3.61038131835876e-05,0.000743888984136837,-1.39470312114034,-4.13109576150425,TRUE,"Down in treated"
"Gene0025",367.265939488921,1.22891978184723,0.387161926745527,4.70691677780317e-05,0.00095002871290762,1.4201853567383,4.06972250322323,TRUE,"Up in treated"
"Gene0047",115.401538116489,1.04565142232064,0.311082398331031,5.24634144482018e-05,0.00101737876253474,1.18965042914787,4.04437265689475,TRUE,"Up in treated"
"Gene0060",88.6792190603333,1.02884111056157,0.306228903447527,5.20501728490491e-05,0.00101737876253474,1.17047257780381,4.0462251504803,TRUE,"Up in treated"
"Gene0023",660.091362864679,1.11318828459211,0.343345366983996,5.66927369301441e-05,0.0010782522466137,1.27817319127638,4.02616988278022,TRUE,"Up in treated"
"Gene0066",151.641474879112,-0.95966645612398,0.299890890350582,7.31363754369664e-05,0.00136475236428603,-1.10316264605085,-3.96584501659083,FALSE,"Not significant"
"Gene0065",40.1451196425292,-1.03313221113945,0.324381373642981,9.72102319727458e-05,0.00178038739668603,-1.19063102346184,-3.89745162593851,TRUE,"Down in treated"
"Gene0022",421.525901519791,1.09573310621506,0.35741045623921,0.000112739214988237,0.00202725606587939,1.27324343797833,3.86139986978328,TRUE,"Up in treated"
"Gene0064",14.390669402893,-1.39311971597058,0.456645324211141,0.000115383599033751,0.00203775677579249,-1.63159021575199,-3.85573251668047,TRUE,"Down in treated"
"Gene0007",197.761647564928,0.900624386900277,0.29132331773193,0.000153039749947273,0.00265537390697988,1.04028997023584,3.78608434123088,FALSE,"Not significant"
"Gene0030",341.177669926131,0.810860926639134,0.260057966391969,0.000160091595796402,0.00272983772832141,0.933741248739982,3.7748692728573,FALSE,"Not significant"
"Gene0056",199.271409768257,0.927711537030542,0.309829407771462,0.000190146875510626,0.00318737728610185,1.08173649185895,3.73175965865831,FALSE,"Not significant"
"Gene0041",67.0628305337388,0.967317762619271,0.3281105790457,0.000218490055860143,0.00360144442076136,1.13296434231418,3.69661878043537,FALSE,"Not significant"
"Gene0077",132.61546211635,-1.10690771019587,0.401545963026091,0.000237353000250237,0.00384823143028663,-1.32291604971339,-3.67553338293614,TRUE,"Down in treated"
"Gene0076",37.1378019767538,-1.00604314909966,0.349958172084691,0.000243816245165743,0.00388926236240193,-1.18853097382458,-3.66866926778987,TRUE,"Down in treated"
"Gene0020",42.5371946818944,1.08576385442839,0.386299724352979,0.000257144236222767,0.00403675634324312,1.29165136447352,3.65503765189381,TRUE,"Up in treated"
"Gene0087",48.3725915495143,-1.00974252636611,0.383717502659207,0.0004920251091943,0.00748635127681789,-1.22322727288252,-3.48506086443416,TRUE,"Down in treated"
"Gene0088",38.092157839386,-0.88924627114753,0.328956807340461,0.000486265481591961,0.00748635127681789,-1.06613151395587,-3.48821028376471,FALSE,"Not significant"
"Gene0045",259.588305686665,0.898312176133242,0.343089511170018,0.00051634829514622,0.00773740096817594,1.08500698600012,3.47212892728699,FALSE,"Not significant"
"Gene0055",36.5341224829755,0.919728967929289,0.349942134281411,0.000566947335598065,0.00836881962546994,1.11079760896686,3.4469529370563,FALSE,"Not significant"
"Gene0091",213.332825429833,-0.805131768867412,0.297500427535063,0.000583898347812674,0.0084922862645108,-0.958704265880929,-3.43898557413278,FALSE,"Not significant"
"Gene0050",201.902185039401,0.845982674494392,0.32359774014436,0.000688765599776029,0.00987230693012308,1.02051360652274,3.39401245501468,FALSE,"Not significant"
"Gene0046",1854.94996351046,0.918838985248608,0.36013017642151,0.000726155899038985,0.0102595454878508,1.11907899181545,3.37950839398269,FALSE,"Not significant"
"Gene0001",15.9286093126547,1.05715688496266,0.430201618631533,0.000748650154944185,0.0104283803273211,1.30898442461498,3.37111346794581,TRUE,"Up in treated"
"Gene0089",184.072398737316,-0.674049325476477,0.256847503951823,0.000975562845050904,0.0134004396354909,-0.805323170229952,-3.29748097208105,FALSE,"Not significant"
"Gene0063",20.2187307133879,-0.890708852191185,0.375439584624162,0.00122957468860645,0.0166582105072846,-1.11159770128819,-3.2319293116162,FALSE,"Not significant"
"Gene0048",71.4795590760886,0.903024244241638,0.39229609172306,0.00130722891445961,0.0174709377891967,1.13723524079206,3.21438802088778,FALSE,"Not significant"
"Gene0094",85.2741417211655,-0.715369676611247,0.318294116322249,0.00195764668096928,0.0258148342330483,-0.898956707014873,-3.09658357624913,FALSE,"Not significant"
"Gene0430",44.2913619506801,0.702316725426908,0.323596581558958,0.00285553982240423,0.0371595905836551,0.895043830562863,2.98287565423282,FALSE,"Not significant"
"Gene0725",36.8495863818297,0.709655036089281,0.346143798023397,0.00319850931984967,0.0405554579145042,0.924420214272459,2.94798659693387,FALSE,"Not significant"
"Gene0240",78.4406443018152,-0.6720373019922,0.31589524944417,0.00317677299120294,0.0405554579145042,-0.862132998551678,-2.95009396314796,FALSE,"Not significant"
"Gene0033",15.7209026007235,0.813591039037381,0.414577988972946,0.0033051759606094,0.0413774560131986,1.08473046259166,2.93783057235826,FALSE,"Not significant"
"Gene0029",35.7473415727333,0.735946073265095,0.358078546382877,0.0033671439310432,0.0416263168475216,0.958777925768878,2.93206672631957,FALSE,"Not significant"
"Gene0024",43.190320893636,0.78507690313393,0.418138468688701,0.00378390237144775,0.0462009808069361,1.06287974453327,2.89563665604911,FALSE,"Not significant"
"Gene0096",16.180727263945,-0.756025873841766,0.388704761970768,0.00401687224080574,0.0478636945320106,-1.01078273195026,-2.87683370221721,FALSE,"Not significant"
"Gene0084",124.347477423945,-0.676203558760115,0.344342150092496,0.00399407141623049,0.0478636945320106,-0.896168720729062,-2.87862959364317,FALSE,"Not significant"
"Gene0072",27.9122451292009,-0.729378189234326,0.387017854955532,0.00429878057527494,0.0506130236779395,-0.985464687864394,-2.85536195816903,FALSE,"Not significant"
"Gene0071",110.145296671109,-0.640334837342983,0.333688519119517,0.00497310171866782,0.0578635011736762,-0.852683804212511,-2.80877093496929,FALSE,"Not significant"
"Gene0848",44.4460541136983,0.586652336713941,0.304608296137234,0.00676846849335285,0.0778373876735578,0.7744611050966,2.70802617033457,FALSE,"Not significant"
"Gene0032",189.064696990589,0.65552320766769,0.384214910784842,0.00701088357253182,0.0796984350946433,0.920154466735986,2.69632685239771,FALSE,"Not significant"
"Gene0031",561.522547018071,0.620416195410139,0.393903949686571,0.00758961854477125,0.0852969629633951,0.904783954257315,2.6698011232057,FALSE,"Not significant"
"Gene0019",63.7793324358623,0.608293752584222,0.345795906650052,0.00823921770325268,0.0915571495338978,0.839343561132254,2.64210636263376,FALSE,"Not significant"
"Gene0827",93.3937454795374,-0.568857124730742,0.328308892392923,0.00860044389198853,0.094509322324185,-0.788807651947779,-2.62754115005119,FALSE,"Not significant"
"Gene0440",249.906854231172,-0.471690439899187,0.244480279105886,0.00964020619979026,0.104771032215303,-0.612180793731172,-2.58847457983009,FALSE,"Not significant"
"Gene0082",137.11233816926,-0.474748236163477,0.247316262875329,0.0101603998756355,0.109224298663081,-0.617760246053282,-2.57032209342238,FALSE,"Not significant"
"Gene0908",141.504221047669,0.53958715818128,0.309398676395627,0.010741096079678,0.114225204546253,0.741866804428747,2.55101091844642,FALSE,"Not significant"
"Gene0368",42.5986182243878,0.543497961291364,0.324694576614402,0.0116832958815239,0.121801867170743,0.764372140080351,2.52156839995153,FALSE,"Not significant"
"Gene0134",102.480658201823,0.540188477179999,0.325940933023951,0.0116998760174121,0.121801867170743,0.762074841751831,2.52106944231586,FALSE,"Not significant"
"Gene0061",10.301452825219,-0.65190217190162,0.46913066315542,0.0123795860479861,0.124956880337566,-1.02032535649516,-2.50113533662856,FALSE,"Not significant"
"Gene0751",125.594983481564,-0.587681253581622,0.444291843337088,0.0123290635177461,0.124956880337566,-0.943228011867295,-2.50258322315128,FALSE,"Not significant"
"Gene0199",41.9509378610538,-0.561151194934674,0.354098462114159,0.0123819760091825,0.124956880337566,-0.813781050801039,-2.50106697429619,FALSE,"Not significant"
"Gene0228",402.853804234105,0.561524280850258,0.385172957819143,0.012651492688241,0.125306402650632,0.850362901862434,2.49343168567825,FALSE,"Not significant"
"Gene0349",411.5828108757,-0.559255714238824,0.395030592376004,0.0127051251143647,0.125306402650632,-0.864094010645201,-2.49192950519352,FALSE,"Not significant"
"Gene0778",49.6021647943442,0.52520221650094,0.312368892227264,0.0127967104830271,0.125306402650632,0.734392096902436,2.48937723484878,FALSE,"Not significant"
"Gene0222",113.521514362166,-0.483031255335014,0.279329562066948,0.0135117840608035,0.13101131800132,-0.661681949164097,-2.46998732222387,FALSE,"Not significant"
"Gene0471",702.801697717938,-0.445135912673752,0.242156386907163,0.0138203257564613,0.132701962846021,-0.585870429627799,-2.46189983497231,FALSE,"Not significant"
"Gene0081",88.6870269102603,-0.556177015390038,0.388109471210264,0.0154102282446206,0.146545343595478,-0.853361715756233,-2.42259188120351,FALSE,"Not significant"
"Gene0152",152.10720172977,-0.438909096859025,0.245874824878689,0.0155683070739938,0.146638625677904,-0.585115592428727,-2.41888159029104,FALSE,"Not significant"
"Gene0279",52.1976844114439,0.543669844316819,0.372832227206643,0.0161370974938061,0.150562164352587,0.823668488238399,2.40579997577274,FALSE,"Not significant"
"Gene0656",49.2711949831676,0.447672488011167,0.25938941680599,0.0168402544706906,0.155654314687037,0.607586089213236,2.39017700484285,FALSE,"Not significant"
"Gene0009",558.567904739466,0.460306578855436,0.282080754981517,0.0171539930608872,0.157086103122383,0.646547434832955,2.38339036895314,FALSE,"Not significant"
"Gene0579",13.7200623614184,0.560858451357901,0.423478395928128,0.0174647148604647,0.158464247678896,0.901853264482752,2.37677548066306,FALSE,"Not significant"
"Gene0746",33.2221533162881,-0.473310244964751,0.305422747498631,0.0195116590448278,0.175427552684861,-0.685206754712553,-2.33560842587568,FALSE,"Not significant"
"Gene0757",75.6398322871876,-0.468321532013999,0.320283476334003,0.0213210730922624,0.189968840434663,-0.700741831544387,-2.30225008255828,FALSE,"Not significant"
"Gene0139",231.469205917893,-0.38002007714326,0.217721878414136,0.0224175606023801,0.19795506639066,-0.50112027836402,-2.28321748615822,FALSE,"Not significant"
"Gene0166",26.8915262861594,-0.486763342144529,0.375928967736729,0.0234795180503362,0.203919297669593,-0.791962689092607,-2.26554072169861,FALSE,"Not significant"
"Gene0871",197.667375554252,-0.402907990360361,0.244079714198639,0.023505358882036,0.203919297669593,-0.551269547776593,-2.26511931127835,FALSE,"Not significant"
"Gene0013",54.4309067882474,0.43851580513707,0.287902621087866,0.0238724415290309,0.20432929510491,0.635300160573344,2.25917596098698,FALSE,"Not significant"
"Gene0193",186.854078979901,-0.419674928859504,0.274957531454049,0.023965822277219,0.20432929510491,-0.604246303995133,-2.25767670999031,FALSE,"Not significant"
"Gene0266",177.765673142207,-0.405428673607839,0.253410336602834,0.0247983002975006,0.209619820463488,-0.565335270661737,-2.24453032096826,FALSE,"Not significant"
"Gene0028",78.9222507952517,0.431914253423358,0.325908589872163,0.0307307998532146,0.257565771651095,0.683508074669803,2.16054117276714,FALSE,"Not significant"
"Gene0255",22.7126274921955,-0.422109100592738,0.308138526385331,0.0325633413836962,0.270631467466181,-0.650147460803208,-2.13742621154291,FALSE,"Not significant"
"Gene0044",36.4438663242996,0.432484805265888,0.37138938694661,0.033570202669612,0.276273646459739,0.754718490601725,2.12519670745183,FALSE,"Not significant"
"Gene0448",45.5932604301109,0.429072843808298,0.37199965406501,0.0338009213565505,0.276273646459739,0.753575955114208,2.12243862722992,FALSE,"Not significant"
"Gene0652",282.147639151518,-0.395811099197155,0.299608823988123,0.0343824584437314,0.278723372138117,-0.620399333107575,-2.11555751466637,FALSE,"Not significant"
"Gene0603",46.1704169955656,0.42810061634475,0.349461631767387,0.0353659186266698,0.279815148174211,0.716938160776999,2.1041436453167,FALSE,"Not significant"
"Gene0529",164.202610216425,0.391048593721028,0.278913718128123,0.0349329490522019,0.279815148174211,0.586013689493515,2.10913478539227,FALSE,"Not significant"
"Gene0532",56.6995386683223,-0.383329229985319,0.262411180839933,0.0352128439732719,0.279815148174211,-0.558187245989212,-2.10590225258758,FALSE,"Not significant"
"Gene0741",24.6913182410434,0.427980729040794,0.390409939868703,0.0361669337210734,0.283881725794774,0.784392421147613,2.09504566029073,FALSE,"Not significant"
"Gene0304",316.210006852043,-0.386529230309799,0.303398636264931,0.0382682721160769,0.298007253055091,-0.621052143616861,-2.07196964522286,FALSE,"Not significant"
"Gene0422",83.9409530487285,-0.378097380005875,0.269385832847486,0.0385691894752797,0.298007253055091,-0.563998908384568,-2.06875386750412,FALSE,"Not significant"
"Gene0027",59.6269901188416,0.378976053662482,0.284908972924707,0.0401606899599138,0.306737747143167,0.586049197568758,2.05209233261499,FALSE,"Not significant"
"Gene0885",199.758941593378,0.36249317128375,0.249655905976965,0.0403194207569381,0.306737747143167,0.52235906576486,2.0504614622477,FALSE,"Not significant"
"Gene0720",86.7465426256386,0.383666225510446,0.289406425953789,0.0412988139054336,0.309428234488438,0.596259333742031,2.04051745915022,FALSE,"Not significant"
"Gene0653",96.5600911353313,0.356435046530722,0.245186417643435,0.0410898502212209,0.309428234488438,0.512185989407356,2.0426222154035,FALSE,"Not significant"
"Gene0815",538.546473622203,-0.370439044309829,0.294893216562089,0.0437863935323936,0.325599572958927,-0.596497011852526,-2.01612990646163,FALSE,"Not significant"
"Gene0747",15.3737222485519,-0.396800642095501,0.36897841230707,0.0445564925033221,0.328853515565564,-0.740301172873454,-2.00881749200994,FALSE,"Not significant"
"Gene0648",43.8517544404176,0.386192658179115,0.330870407238108,0.0451372358478031,0.330672046322053,0.6651197604987,2.00337329315195,FALSE,"Not significant"
"Gene0276",11.2819037472812,-0.390154153589434,0.374302636674891,0.0487873001937736,0.354784116850309,-0.749874895619842,-1.97044580645186,FALSE,"Not significant"
"Gene0372",93.1657083073991,-0.338298546303838,0.242604494871573,0.0491612188595361,0.35489376242395,-0.494171964182583,-1.96719079479496,FALSE,"Not significant"
"Gene0287",346.743042703857,0.339858754545321,0.247987121875756,0.0499917985657949,0.358274556388197,0.500942885575413,1.96003415297525,FALSE,"Not significant"
"Gene0237",40.1105043947697,0.370566155375191,0.32328418549689,0.0505048748654797,0.359347634834241,0.644056135185743,1.95566292559001,FALSE,"Not significant"
"Gene0016",39.9418031408096,0.379818131160884,0.357078056815903,0.0510948148956384,0.360948370941331,0.710031702384772,1.95068259650735,FALSE,"Not significant"
"Gene0437",81.6420919319494,0.340683500795394,0.259709271317976,0.0516328500548698,0.362162331235931,0.519519542597197,1.94618226038551,FALSE,"Not significant"
"Gene0388",238.345942054731,-0.343114686950363,0.296810330161811,0.0531953090481131,0.366408083207358,-0.583025876588876,-1.93333202550773,FALSE,"Not significant"
"Gene0348",145.969263415447,-0.334699326637825,0.247378040725501,0.0533496096884324,0.366408083207358,-0.497882177410707,-1.93208018453198,FALSE,"Not significant"
"Gene0499",70.4763719317013,0.326861340366641,0.232981681733581,0.0527418517649921,0.366408083207358,0.470600218059969,1.937028564481,FALSE,"Not significant"
"Gene0408",355.147396442451,0.355204384824158,0.326505246491069,0.0568283809572787,0.387608750115508,0.640195741978866,1.9046284863764,FALSE,"Not significant"
"Gene0561",62.4394050082549,-0.347509832773981,0.30238121373336,0.0580618991724089,0.393309714256934,-0.595143294784279,-1.8952302879863,FALSE,"Not significant"
"Gene0387",102.412641819862,0.331666476020134,0.261409746098844,0.0588160151313308,0.39570774806045,0.515525795690067,1.88956609612474,FALSE,"Not significant"
"Gene0582",27.6304279180511,0.346651170053754,0.30143872235963,0.0603796771393991,0.401672993948701,0.593217605290224,1.87801087690053,FALSE,"Not significant"
"Gene0204",25.390555379704,-0.345690895628011,0.317392899927205,0.0609210809831195,0.401672993948701,-0.623410387989857,-1.87406779858515,FALSE,"Not significant"
"Gene0571",114.746981690712,0.332211282876307,0.279682562885726,0.0608385258465509,0.401672993948701,0.545110699877089,1.87466717178481,FALSE,"Not significant"
"Gene0683",93.6919766993569,-0.333272550958064,0.310667655293939,0.0635979666622971,0.416545622708687,-0.605003981094417,-1.85498781474562,FALSE,"Not significant"
"Gene0832",17.6205866362942,-0.332470654248527,0.365030256274184,0.0641566000146148,0.417050231583786,-0.731893879783086,-1.85109004499965,FALSE,"Not significant"
"Gene0696",99.5152583812443,-0.322473265976789,0.265174602777754,0.0645183876969861,0.417050231583786,-0.515698682299918,-1.84858065830305,FALSE,"Not significant"
"Gene0011",117.814191538095,0.317835858634478,0.265868117709826,0.065360374359259,0.419749417151345,0.511972714860288,1.84278522849294,FALSE,"Not significant"
"Gene0575",465.497659613179,0.300523493564672,0.224187394334036,0.0674071810652537,0.430101303700232,0.433863433274255,1.82894945160472,FALSE,"Not significant"
"Gene0907",23.9209657962776,0.332903933567909,0.307308500901538,0.0696942934805176,0.434011409210098,0.597171614166168,1.81389239709029,FALSE,"Not significant"
"Gene0068",22.0850706367721,-0.331703319747502,0.294892361970017,0.0687124538443745,0.434011409210098,-0.573161146184126,-1.82030576569506,FALSE,"Not significant"
"Gene0113",109.893766785733,-0.327763178250299,0.304508479316095,0.0697753428355972,0.434011409210098,-0.589819341128432,-1.81336630549702,FALSE,"Not significant"
"Gene0564",217.156569059874,0.324809257786595,0.318500308884397,0.0690484425880088,0.434011409210098,0.615682492003454,1.8181026661465,FALSE,"Not significant"
"Gene0816",105.168208732157,0.328657112276984,0.318625436339267,0.0713141055104049,0.44081031468619,0.617462852786892,1.80347208576666,FALSE,"Not significant"
"Gene0446",286.555170548336,0.321762083347206,0.293800561497833,0.0721272935804329,0.443067660565517,0.562573763138084,1.79831380315627,FALSE,"Not significant"
"Gene0194",120.364668910027,0.304759551753801,0.359888160425156,0.0728435538340634,0.444705399641288,0.727129686179126,1.79380966460696,FALSE,"Not significant"
"Gene0923",81.7392075799538,0.31304335512265,0.269242569112457,0.07337332417468,0.445191519072138,0.514906082286882,1.79050151339957,FALSE,"Not significant"
"Gene0952",38.8886287090957,0.31868856292699,0.307782604186617,0.0754300122440685,0.44647661378242,0.592830351190577,1.77784075844821,FALSE,"Not significant"
"Gene0624",92.7085535642161,-0.316756404316279,0.298191533838388,0.0754478530280754,0.44647661378242,-0.572312828112324,-1.77773217263312,FALSE,"Not significant"
"Gene0378",65.4500920942396,-0.316561574057975,0.280673271381883,0.0745375302904828,0.44647661378242,-0.537670003644056,-1.78329969959796,FALSE,"Not significant"
"Gene0892",39.4795366987042,-0.314061950593209,0.319249742002614,0.076146784158683,0.44647661378242,-0.617671833564594,-1.77349461051021,FALSE,"Not significant"
"Gene0159",81.7792065617706,0.311718268975662,0.285920664889617,0.0762937793015461,0.44647661378242,0.544318928056309,1.77260743237666,FALSE,"Not significant"
"Gene0583",7.64208003033633,-0.283344229018099,0.393592750032453,0.0748790238401167,0.44647661378242,-0.926557040354813,-1.78120465283167,FALSE,"Not significant"
"Gene0147",73.1886455011462,-0.297544941069842,0.328686718818343,0.0774318811865381,0.450471355844036,-0.641623163282846,-1.7657852668642,FALSE,"Not significant"
"Gene0695",41.5559041307767,-0.306754655211402,0.266026249141151,0.0781478552479372,0.451977946433976,-0.505885145236422,-1.76153523210184,FALSE,"Not significant"
"Gene0103",32.6412285995041,0.313543531828641,0.318146368632959,0.0802638101700934,0.45950928750023,0.613554022380693,1.74915743082284,FALSE,"Not significant"
"Gene0795",33.2940673696701,0.308705758669015,0.285577147496466,0.0806867759508089,0.45950928750023,0.542295007310838,1.7467150644242,FALSE,"Not significant"
"Gene0958",36.4478919339577,-0.307694513140397,0.281039042197361,0.080843898913084,0.45950928750023,-0.534152667125023,-1.74581042470211,FALSE,"Not significant"
"Gene0359",51.7476948139508,0.310230197571116,0.304948398477968,0.0822940667386352,0.463384678316494,0.582551491422812,1.7375277130873,FALSE,"Not significant"
"Gene0921",262.658722715488,0.305126164319929,0.289199337549701,0.0824627941190121,0.463384678316494,0.547812273717726,1.73657172407766,FALSE,"Not significant"
